GRIDCODE,LONG,LATITUDE,Huso,Pob,UTMX,UTMY,UTMz
625130,-108.57230,30.75687,7,0,1869321.77420,2090649.06160,12
625131,-108.54108,30.75810,7,0,1872321.77420,2090649.06160,12
625132,-108.50986,30.75933,7,0,1875321.77420,2090649.06160,12
625133,-108.47864,30.76055,7,0,1878321.77420,2090649.06160,12
625134,-108.44742,30.76177,7,0,1881321.77420,2090649.06160,12
625135,-108.41620,30.76298,7,0,1884321.77420,2090649.06160,12
625136,-108.38498,30.76418,7,275,1887321.77420,2090649.06160,12
625137,-108.35375,30.76538,7,0,1890321.77420,2090649.06160,12
625138,-108.32253,30.76657,7,0,1893321.77420,2090649.06160,12
625139,-108.29131,30.76776,7,0,1896321.77420,2090649.06160,12
625140,-108.26008,30.76894,7,0,1899321.77420,2090649.06160,12
625141,-108.22885,30.77011,7,0,1902321.77420,2090649.06160,12
625142,-108.19763,30.77128,7,0,1905321.77420,2090649.06160,12
625143,-108.16640,30.77245,7,0,1908321.77420,2090649.06160,12
625144,-108.13517,30.77360,7,0,1911321.77420,2090649.06160,12
625145,-108.10395,30.77475,7,0,1914321.77420,2090649.06160,12
625146,-108.07272,30.77590,7,0,1917321.77420,2090649.06160,12
625147,-108.04149,30.77704,7,0,1920321.77420,2090649.06160,12
625148,-108.01026,30.77817,7,0,1923321.77420,2090649.06160,12
625149,-107.97903,30.77930,7,0,1926321.77420,2090649.06160,13
625150,-107.94780,30.78042,7,131,1929321.77420,2090649.06160,13
625151,-107.91657,30.78154,7,50,1932321.77420,2090649.06160,13
625152,-107.88533,30.78265,7,0,1935321.77420,2090649.06160,13
625153,-107.85410,30.78375,7,2,1938321.77420,2090649.06160,13
625154,-107.82287,30.78485,7,0,1941321.77420,2090649.06160,13
625155,-107.79163,30.78594,7,0,1944321.77420,2090649.06160,13
625156,-107.76040,30.78703,7,0,1947321.77420,2090649.06160,13
625157,-107.72917,30.78811,7,0,1950321.77420,2090649.06160,13
625158,-107.69793,30.78919,7,0,1953321.77420,2090649.06160,13
625159,-107.66669,30.79025,7,0,1956321.77420,2090649.06160,13
625160,-107.63546,30.79132,7,0,1959321.77420,2090649.06160,13
625161,-107.60422,30.79238,7,0,1962321.77420,2090649.06160,13
625162,-107.57298,30.79343,7,0,1965321.77420,2090649.06160,13
625163,-107.54175,30.79447,7,2,1968321.77420,2090649.06160,13
625164,-107.51051,30.79551,7,3,1971321.77420,2090649.06160,13
625165,-107.47927,30.79655,7,0,1974321.77420,2090649.06160,13
625166,-107.44803,30.79757,7,0,1977321.77420,2090649.06160,13
625167,-107.41679,30.79859,7,0,1980321.77420,2090649.06160,13
625168,-107.38555,30.79961,7,0,1983321.77420,2090649.06160,13
625169,-107.35431,30.80062,7,0,1986321.77420,2090649.06160,13
625170,-107.32307,30.80163,7,0,1989321.77420,2090649.06160,13
625171,-107.29182,30.80262,7,3,1992321.77420,2090649.06160,13
625172,-107.26058,30.80362,7,0,1995321.77420,2090649.06160,13
625173,-107.22934,30.80460,7,0,1998321.77420,2090649.06160,13
625174,-107.19809,30.80558,7,0,2001321.77420,2090649.06160,13
625175,-107.16685,30.80656,7,0,2004321.77420,2090649.06160,13
625176,-107.13561,30.80753,7,0,2007321.77420,2090649.06160,13
625177,-107.10436,30.80849,7,0,2010321.77420,2090649.06160,13
625178,-107.07311,30.80945,7,0,2013321.77420,2090649.06160,13
625179,-107.04187,30.81040,7,0,2016321.77420,2090649.06160,13
625180,-107.01062,30.81135,7,0,2019321.77420,2090649.06160,13
625181,-106.97938,30.81229,7,0,2022321.77420,2090649.06160,13
625182,-106.94813,30.81322,7,0,2025321.77420,2090649.06160,13
625183,-106.91688,30.81415,7,0,2028321.77420,2090649.06160,13
625184,-106.88563,30.81507,7,0,2031321.77420,2090649.06160,13
625185,-106.85438,30.81599,7,0,2034321.77420,2090649.06160,13
625186,-106.82313,30.81690,7,0,2037321.77420,2090649.06160,13
625187,-106.79188,30.81780,7,0,2040321.77420,2090649.06160,13
625188,-106.76063,30.81870,7,0,2043321.77420,2090649.06160,13
625189,-106.72938,30.81959,7,0,2046321.77420,2090649.06160,13
625190,-106.69813,30.82048,7,0,2049321.77420,2090649.06160,13
625191,-106.66688,30.82136,7,0,2052321.77420,2090649.06160,13
625192,-106.63563,30.82223,7,0,2055321.77420,2090649.06160,13
625193,-106.60438,30.82310,7,0,2058321.77420,2090649.06160,13
625194,-106.57312,30.82397,7,0,2061321.77420,2090649.06160,13
625195,-106.54187,30.82482,7,0,2064321.77420,2090649.06160,13
625196,-106.51062,30.82568,7,0,2067321.77420,2090649.06160,13
625197,-106.47936,30.82652,7,3,2070321.77420,2090649.06160,13
625198,-106.44811,30.82736,7,4,2073321.77420,2090649.06160,13
625199,-106.41685,30.82819,7,0,2076321.77420,2090649.06160,13
625200,-106.38560,30.82902,7,0,2079321.77420,2090649.06160,13
625201,-106.35434,30.82984,7,0,2082321.77420,2090649.06160,13
625202,-106.32308,30.83066,7,0,2085321.77420,2090649.06160,13
625203,-106.29183,30.83147,7,0,2088321.77420,2090649.06160,13
625204,-106.26057,30.83228,7,0,2091321.77420,2090649.06160,13
625205,-106.22931,30.83307,7,0,2094321.77420,2090649.06160,13
625206,-106.19805,30.83387,7,0,2097321.77420,2090649.06160,13
625207,-106.16680,30.83465,7,0,2100321.77420,2090649.06160,13
625208,-106.13554,30.83543,7,0,2103321.77420,2090649.06160,13
625209,-106.10428,30.83621,7,0,2106321.77420,2090649.06160,13
625921,-116.91058,30.24202,7,0,1065321.77420,2093649.06160,11
625922,-116.87962,30.24482,7,0,1068321.77420,2093649.06160,11
625923,-116.84867,30.24762,7,0,1071321.77420,2093649.06160,11
625924,-116.81771,30.25041,7,0,1074321.77420,2093649.06160,11
625925,-116.78675,30.25319,7,0,1077321.77420,2093649.06160,11
625926,-116.75579,30.25597,7,0,1080321.77420,2093649.06160,11
625927,-116.72483,30.25874,7,0,1083321.77420,2093649.06160,11
625928,-116.69386,30.26151,7,0,1086321.77420,2093649.06160,11
625929,-116.66290,30.26427,7,0,1089321.77420,2093649.06160,11
625930,-116.63193,30.26702,7,0,1092321.77420,2093649.06160,11
625931,-116.60096,30.26977,7,0,1095321.77420,2093649.06160,11
625932,-116.56999,30.27251,7,0,1098321.77420,2093649.06160,11
625933,-116.53902,30.27525,7,0,1101321.77420,2093649.06160,11
625934,-116.50805,30.27798,7,0,1104321.77420,2093649.06160,11
625935,-116.47708,30.28071,7,0,1107321.77420,2093649.06160,11
625936,-116.44610,30.28343,7,0,1110321.77420,2093649.06160,11
625937,-116.41513,30.28614,7,0,1113321.77420,2093649.06160,11
625938,-116.38415,30.28885,7,0,1116321.77420,2093649.06160,11
625939,-116.35317,30.29155,7,0,1119321.77420,2093649.06160,11
625940,-116.32219,30.29425,7,0,1122321.77420,2093649.06160,11
625941,-116.29121,30.29694,7,0,1125321.77420,2093649.06160,11
625942,-116.26023,30.29963,7,0,1128321.77420,2093649.06160,11
625943,-116.22924,30.30230,7,0,1131321.77420,2093649.06160,11
625944,-116.19826,30.30498,7,0,1134321.77420,2093649.06160,11
625945,-116.16727,30.30765,7,0,1137321.77420,2093649.06160,11
625946,-116.13628,30.31031,7,0,1140321.77420,2093649.06160,11
625947,-116.10529,30.31296,7,0,1143321.77420,2093649.06160,11
625948,-116.07430,30.31561,7,0,1146321.77420,2093649.06160,11
625949,-116.04331,30.31826,7,0,1149321.77420,2093649.06160,11
625950,-116.01232,30.32090,7,0,1152321.77420,2093649.06160,11
625951,-115.98132,30.32353,7,0,1155321.77420,2093649.06160,11
625952,-115.95033,30.32616,7,0,1158321.77420,2093649.06160,11
625953,-115.91933,30.32878,7,0,1161321.77420,2093649.06160,11
625954,-115.88833,30.33139,7,0,1164321.77420,2093649.06160,11
625955,-115.85733,30.33400,7,0,1167321.77420,2093649.06160,11
625956,-115.82633,30.33660,8,18,1170321.77420,2093649.06160,11
625957,-115.79533,30.33920,8,0,1173321.77420,2093649.06160,11
