GRIDCODE,CVE_ENTCVE_MUN,Fb
627157,26065,0.0046407
627158,26065,0.0075365
627159,26065,0.0075365
627160,26065,0.0075365
627161,26065,0.0075365
627162,26058,0.0061084
627162,26065,0.0024679
627163,26058,0.0090825
627164,26058,0.0090825
627165,26036,0.0050053
627165,26058,0.0030541
627166,26036,0.0103128
627167,26036,0.0103128
627168,26036,0.0103128
627169,26036,0.0126279
627170,26036,0.0126279
627171,26036,0.0126279
627172,26036,0.0102414
627173,26035,0.00071
627173,26036,0.0067172
627174,26035,0.00315
627174,26036,0.0076927
627175,26035,0.0049583
627175,26036,0.0048595
627176,26035,0.0015903
627176,26036,0.0066066
627177,26035,0.0095584
627177,26036,0.0010996
627178,26035,0.0097472
627179,26035,0.0044118
627180,26035,0.0044118
627181,26035,0.00806
627182,26035,0.0044118
627183,26035,0.0044118
627184,26035,0.0097472
627185,26035,0.0097472
627186,26035,0.0097472
627187,26035,0.0097472
627188,26006,0.0015421
627188,26035,0.0086558
627189,26006,0.0091797
627189,26035,0.002882
627190,26006,0.0033919
627191,26006,0.0033919
627192,26006,0.0023724
627193,26006,0.0045002
627194,26006,0.0043208
627194,26019,0.000368
627195,26006,0.0018457
627195,26019,0.0018573
627196,26006,0.0004752
627196,26011,0.003016
627196,26019,0.0030825
627197,26011,0.0250644
627197,26019,0.0024776
627198,26011,0.0075296
627199,26011,0.0075296
627200,26011,0.0075296
627201,26011,0.007431
627202,26011,0.0096295
627203,26011,0.0097958
627204,26011,0.0097958
627205,26011,0.0097958
627206,26011,0.0075296
627207,26011,0.0050719
627207,26027,0.0073927
627208,26011,0.0001407
627208,26027,0.0225505
627209,26027,0.0047032
627210,26027,0.0047032
627211,26027,0.0059358
627212,26027,0.0042573
627213,26027,0.0042573
627214,26027,0.0149009
627215,26027,0.0024882
627216,26027,0.0032726
627217,26027,0.0059358
627218,26027,0.0059358
627219,26027,0.0059358
627220,26027,0.0059358
627221,26027,0.0059358
627222,26027,0.0059358
627223,26002,0.003121
627223,26027,0.0029768
627224,26002,0.0062608
627225,26002,0.0062592
627225,26015,0.0000019
627226,26002,0.0014939
627226,26015,0.0053299
627227,26015,0.0071148
627228,26015,0.0071148
627229,26015,0.0071148
627230,26015,0.0071148
627231,26002,0.0032735
627231,26015,0.0033948
627232,26002,0.0051391
627232,26015,0.0012747
627233,26002,0.0002822
627233,26015,0.006794
627234,26015,0.0071148
627235,26015,0.0071148
627236,8035,0.0000153
627236,26015,0.0053145
627237,8035,0.0015328
627237,26015,0.000121
627238,8035,0.0047818
627239,8035,0.0015593
627240,8035,0.0015593
627241,8035,0.0023137
627242,8035,0.0023137
627243,8035,0.0023137
627244,8035,0.0009577
627245,8035,0.001973
627246,8035,0.0016812
627247,8035,0.0023137
627248,8035,0.0019005
627249,8035,0.0019005
627250,8035,0.0019005
627251,8035,0.0023137
627252,8035,0.0023137
627253,8035,0.0023137
627254,8035,0.0019252
627255,8035,0.0015405
627256,8035,0.0022692
627257,8035,0.0004635
627258,8035,0.0012277
627259,8035,0.0023137
627260,8035,0.0023137
627261,8035,0.0023137
627262,8035,0.0023137
627263,8035,0.0023137
627264,8035,0.0023137
627265,8035,0.0023137
627266,8035,0.0019005
627267,8005,0.0008993
627267,8035,0.0003855
627268,8005,0.0020896
627268,8050,0.000985
627269,8005,0.000699
