GRIDCODE	CVENTMUN	Fter
629293	26035	0.003935651
629319	26011	0.033088218
629320	26011	0.053768474
629334	26027	0.015418572
629334	26027	0.0197726
629334	26027	0.01311251
629334	26027	6.89705E-05
629377	8035	0.006387452
629378	8035	0.019000857
629378	8035	0.004602483
629378	8035	0.004458712
629379	8035	0.005550834
629379	8035	0.000340482
629379	8035	0.015228571
629379	8035	0.00131212
629433	8001	0.006681632
629433	8001	0.007486683
629433	8001	0.001147065
629434	8001	0.001435915
630190	2001	0.002146835
630190	2001	0.000949835
630229	2001	0.003064244
630284	26017	0.009334816
630285	26017	0.007602253
630304	26017	0.000440387
630305	26017	0.007253719
630305	26017	0.003388686
630305	26017	0.006190709
630306	26017	0.0134769
630307	26017	0.011580437
630308	26017	0.012518782
630309	26017	0.012505504
630310	26017	0.002152203
630310	26017	0.001849327
630310	26017	0.00284786
630310	26017	0.010979265
630311	26017	0.013878917
630312	26017	0.003884667
630312	26047	0.004406533
630321	26004	0.090888045
630322	26004	0.012815104
630322	26046	0.005559245
630322	26004	0.072783333
630323	26046	0.067875829
630324	26046	0.068540425
630342	26036	0.020697246
630351	26035	0.003633998
630352	26035	0.008969664
630352	26035	0.008428455
630352	26035	0.00535849
630352	26035	0.005114241
630352	26035	0.015884468
630352	26035	0.030949858
630353	26035	0.015717443
630378	26011	0.101867103
630393	26027	0.04881693
630435	8035	0.0207016
630436	8035	0.01959872
630438	8035	0.027381548
630492	8001	0.014168854
631249	2001	0.002798077
631288	2001	0.002873665
631289	2001	0.000244011
631344	26017	0.007889251
631345	26017	0.014027557
631346	26017	0.003474057
631361	26017	0.005020382
631362	26017	0.013477234
631363	26017	0.013016928
631364	26017	0.011720233
631369	26017	0.015664546
631369	26017	0.000881528
631383	26046	0.006089473
631384	26046	0.079246456
631399	26036	0.000631411
631400	26036	0.022003099
631401	26036	0.001725495
631411	26035	0.027490776
631412	26035	0.020415892
631412	26035	0.021935457
631413	26035	0.015351213
631436	26019	0.02345129
631437	26019	0.00570727
631437	26011	0.011162708
631452	26027	0.029021542
631452	26027	0.000874852
631452	26027	0.004633028
631453	26027	0.014047332
631453	26027	0.004868214
631492	8035	0.003007839
631493	8035	0.021440426
631493	8035	0.006580176
631494	8035	0.007194887
631497	8035	0.018470334
631498	8035	0.005826313
631551	8001	0.014241648
632307	2001	0.000819907
632308	2001	0.001979635
632347	2001	0.003128388
632405	26017	0.010435273
632406	26017	0.013970257
632407	26017	0.002454211
632418	26017	0.00986482
632419	26017	0.013422871
632420	26017	0.008384872
632427	26017	0.012370498
632428	26017	0.003335876
632443	26046	0.030498785
632444	26046	0.080139058
632445	26046	0.003905369
632457	26065	0.033037987
632458	26036	0.009694372
632458	26065	0.025264996
