GRIDCODE,CVE_ENTCVE_MUN,Fa
631453,26027,0.027234077
631462,26002,0.03843612
631463,26002,0.049067471
631477,8035,0.003433703
631478,8035,0.013537701
631479,8035,0.014618998
631480,8035,0.010490891
631481,8035,0.012846492
631482,8035,0.016747237
631483,8035,0.016275879
631484,8035,0.016558736
631485,8035,0.005039298
631497,8035,1.5981E-05
631498,8035,0.011797413
631499,8035,0.00418449
631519,8005,0.00259636
631520,8005,0.014311112
631521,8005,0.008775455
631580,8028,0.018810389
632304,2001,0.000261258
632305,2001,0.00162351
632306,2001,0.002349293
632307,2001,0.004021759
632308,2001,0.004023018
632309,2001,0.003565486
632310,2001,0.004025277
632311,2001,0.002131508
632400,26017,0.001695241
632401,26017,0.002475631
632402,26017,0.004805888
632403,26017,0.004535821
632404,26017,0.000665506
632406,26017,0.00171186
632407,26017,0.005715938
632408,26017,0.006611674
632409,26017,0.003186836
632416,26017,0.002845564
632417,26017,0.006932384
632418,26017,0.005311052
632419,26017,0.002701993
632420,26017,0.002672117
632421,26017,0.001062667
632431,26047,0.00224815
632443,26046,0.000179914
632444,26046,0.134574331
632445,26007,0.11256523
632445,26046,0.108516209
632446,26007,0.022284225
632469,26035,0.002645676
632470,26035,0.027587439
632471,26035,0.045495449
632504,26027,0.003683572
632505,26027,0.038156131
632506,26027,0.00822005
632507,26027,0.000781272
632511,26027,0.00135582
632512,26027,0.034219128
632521,26002,0.062425179
632522,26002,0.001481182
632536,8035,0.000919841
632537,8035,0.015816053
632538,8035,0.016747237
632539,8035,0.016747237
632540,8035,0.016747237
632541,8035,0.016747237
632542,8035,0.016456531
632543,8035,0.01564171
632544,8035,0.012844031
632545,8035,2.87104E-06
632557,8035,0.009362713
632558,8035,0.000622873
632578,8005,0.00340966
632579,8005,0.001739498
632580,8005,7.90023E-06
632638,8028,8.22515E-06
632639,8028,0.016240918
633363,2001,1.72758E-05
633364,2001,0.00172459
633365,2001,0.004025277
633366,2001,0.002952227
633367,2001,0.003578684
633368,2001,0.001526282
633369,2001,0.001880766
633370,2001,0.000265948
633459,26017,5.73907E-05
633460,26017,0.004289308
633461,26017,0.000165545
633462,26017,0.001261141
633463,26017,0.001655953
633464,26017,0.001099423
633465,26017,0.00345397
633466,26017,0.00300634
633467,26017,0.002959248
633468,26017,0.005110622
633469,26017,0.002717534
633475,26017,0.000319138
633476,26017,0.003908243
633477,26017,0.004917424
633478,26017,0.006413744
633479,26017,0.003166989
633504,26007,0.060633084
633504,26046,0.009277121
633505,26007,0.269221688
633506,26007,0.164597841
633507,26007,0.011166086
633529,26035,0.030686497
633530,26035,0.030185801
633563,26027,0.017450133
633564,26027,0.01374744
633571,26027,0.031041463
633572,26027,0.005840034
633580,26002,0.085071242
633595,8035,0.003542765
633596,8035,0.015986392
633597,8035,0.016747237
633598,8035,0.016747237
633599,8035,0.016747237
633600,8035,0.016747237
633601,8035,0.001112016
633616,8035,0.008134455
633620,8005,0.000159378
633621,8005,0.001761857
633697,8028,0.014065505
633698,8028,0.005702143
634423,2001,0.000349613
634424,2001,0.003967533
634425,2001,0.00351606
634426,2001,0.004025277
634427,2001,0.004017773
634428,2001,0.001302013
634429,2001,0.000305421
634519,26017,0.003206981
634520,26017,0.003544325
634521,26017,0.003724949
634522,26017,0.000822903
634523,26017,0.002245452
634524,26017,0.001605123
634525,26017,0.000515021
634526,26017,0.000274911
634527,26017,0.005912968
634528,26017,0.006987354
634529,26017,0.004862215
634530,26017,0.003429659
634531,26017,0.003682475
634532,26017,0.000433851
634533,26017,0.00019338
634534,26017,2.60356E-05
634536,26017,0.000541698
634537,26017,0.002647651
634538,26017,0.003977539
634539,26017,0.000865679
634556,26004,0.000807477
634557,26004,0.004910911
634565,26007,0.075805736
634566,26007,0.224281648
634567,26007,0.059427241
634567,26065,0.01327757
634588,26035,0.051675364
634589,26035,0.003397467
634622,26027,0.000703297
634630,26027,0.004019349
634631,26027,0.039006424
634639,26002,0.097079174
634654,8035,0.001218615
634655,8035,0.011757112
634655,26002,0.001375199
634656,8035,0.015981176
634656,26002,0.006473468
634657,8035,0.013530777
634657,26002,0.008831802
634658,8035,0.012479478
634659,8035,0.011994473
634660,8035,0.000455644
634675,8035,0.009763936
634676,8035,0.004321152
634679,8005,0.004234247
634679,8035,0.000225702
634680,8005,0.008042342
634751,8028,0.001640504
634752,8028,0.000216453
634754,8028,0.00023024
634755,8028,0.013429831
634756,8028,0.018471031
635482,2001,0.000541399
635483,2001,0.004004914
635484,2001,0.003201117
635485,2001,0.003663121
635486,2001,0.001661896
635487,2001,2.38473E-05
635510,2001,5.33435E-05
635511,2001,0.000596956
635578,26017,0.001302378
635579,26017,0.004272587
635580,26017,0.005259866
635581,26017,0.005976887
635582,26017,0.00666798
635583,26017,0.005785383
635584,26017,0.006199999
635585,26017,0.004824332
635586,26017,0.007033535
635587,26017,0.007033535
635588,26017,0.006663586
635589,26017,0.006725063
635590,26017,0.007033535
635591,26017,0.006256536
635592,26017,0.004915064
635593,26017,0.000525403
635595,26017,0.000902127
635597,26017,0.003366938
635598,26017,0.001530691
635615,26004,0.010474155
635616,26004,0.00428599
635626,26007,1.72214E-05
635626,26065,0.003773785
635628,26065,0.118931522
635629,26065,0.03378702
635647,26035,0.040476771
635648,26035,0.005221112
635690,26027,0.01676045
635691,26027,0.028580897
635692,26027,0.010929803
635697,26002,0.01863718
635698,26002,0.058487363
635714,26002,0.026573383
635715,26002,0.03302658
635716,26002,0.025787393
635717,8035,8.66753E-05
635718,8035,0.001813004
635734,8035,0.007707885
635735,8005,0.002939129
635735,8035,0.013798498
635736,8005,0.009341013
635736,8035,0.006288631
635737,8005,0.010487534
635737,8035,0.002768612
635738,8005,0.014137205
635738,8035,3.28737E-05
635739,8005,0.00887889
635810,8028,0.022563713
635811,8028,0.011286137
635812,8028,0.003834403
635813,8028,0.019535589
635814,8028,0.010227249
636541,2001,0.000288705
636542,2001,0.004007198
636543,2001,0.003978545
636544,2001,0.003333543
636545,2001,0.000134766
636569,2001,0.000365415
636570,2001,0.003276271
636571,2001,0.000405662
636640,26017,0.002160929
636641,26017,0.007033535
636642,26017,0.007033535
636643,26017,0.007033535
636644,26017,0.007033535
636645,26017,0.007033535
636646,26017,0.007033535
636647,26017,0.007033535
636648,26017,0.007033535
636649,26017,0.006578969
636650,26017,0.00689413
636651,26017,0.004107277
636654,26017,0.002263639
636671,26004,0.000154057
636672,26004,0.002567378
636673,26004,0.014459088
636674,26004,0.005423382
636687,26065,0.002746871
636688,26065,0.108692259
636689,26065,0.048121328
636706,26035,0.002482771
636707,26035,0.002261654
636751,26027,0.028999287
636756,26002,0.057522505
636757,26002,0.003416166
636794,8005,0.00705734
636794,8035,0.002273905
636795,8005,0.020409463
636796,8005,0.020409463
636797,8005,0.020409463
